date,time,competition,home,away,home_back,home_lay,draw_back,draw_lay,away_back,away_lay,over25_back,over25_lay,score01_back,score01_lay
29-03-2026,10:30,Tunísia Ligue 2,ES Bouchamma,Stade Gabesien,2.88,3.3,2.78,3.4,2.76,3.15,2.72,3.15,7.0,9.8
29-03-2026,10:30,Tunísia Ligue 2,AS Ariana,Ksour Essef,1.99,2.18,3.1,3.65,4.4,5.2,2.62,2.94,10.0,14.5
29-03-2026,10:30,Tunísia Ligue 2,CS Hamman Lif,AS Agareb,1.14,1.17,7.4,12.5,26.0,55.0,1.58,1.67,4.2,95.0
29-03-2026,10:30,Tunísia Ligue 2,ES Hammam Sousse,US Tataouine,1.81,2.04,3.05,4.1,5.0,6.4,2.56,2.98,4.1,16.0
29-03-2026,10:30,Tunísia Ligue 2,Sportif de Korba,Jendouba Sport,2.16,2.56,2.8,3.2,4.0,5.4,3.0,3.4,8.8,12.5
29-03-2026,10:30,Tunísia Ligue 2,El Makarem de Mahdia,Sfax Railways Sports,2.32,2.98,2.52,3.6,3.05,4.6,2.74,3.2,7.0,11.5
29-03-2026,10:30,Tunísia Ligue 2,OC Kerkennah,CS Chebba,1.81,1.95,3.25,3.85,4.8,7.4,2.6,2.9,9.8,
29-03-2026,11:00,Inglaterra Wsl,Leicester City (W),Brighton (F),5.5,5.8,4.5,4.8,1.64,1.66,1.61,1.65,11.0,12.0
29-03-2026,11:00,2 Liga Da Polônia,Zaglebie Sosnowiec,BTS Rekord B-B,1.9,1.97,3.75,4.1,4.1,4.5,1.73,1.81,15.5,23.0
29-03-2026,11:00,Alemanha Frauen Bundesliga,Wolfsburg (F),1. FC Union Berlin (W),1.32,1.36,6.2,7.4,8.6,10.5,1.36,1.4,32.0,60.0
29-03-2026,11:00,Amistosos Internacionais,Armênia,Bielorrússia,2.24,2.3,3.55,3.7,3.45,3.65,2.28,2.4,10.5,11.0
29-03-2026,11:00,Copa Da Islândia,UMF Tindstoll,IF Magni,4.1,5.3,4.7,8.2,1.52,1.67,1.26,1.33,5.3,1000.0
29-03-2026,11:00,Camarões Elite One,Aigle Royal du Moungo,Panthere Sportive du Nde,1.1,4.6,1.03,1000.0,1.47,1000.0,1.59,6.0,1.02,
29-03-2026,11:00,Camarões Elite One,Victoria United Limbe,Stade Renard,1.51,1.61,4.4,5.2,6.0,7.8,1.51,1.66,23.0,32.0
29-03-2026,11:00,Camarões Elite One,Dynamo Douala,PWD Bamenda,2.42,2.96,2.42,3.15,3.2,4.1,2.38,2.86,8.6,11.5
29-03-2026,11:00,Camarões Elite One,Aigle Royal de la Menoua,Colombe du Dja et Lobo,4.0,4.7,2.74,3.35,2.12,2.5,1.8,3.4,5.7,7.4
29-03-2026,11:00,Islândia Super Copa,Vikingur Reykjavik,IF Vestri,1.24,1.27,7.6,8.6,12.0,14.0,1.29,1.32,34.0,1000.0
29-03-2026,11:00,Argentina Torneo A,9 de Julio Rafaela,Independiente Chivilcoy,1.73,1.87,3.2,3.8,5.7,7.8,2.7,3.1,12.0,17.5
29-03-2026,11:00,Escócia Feminino,Glasgow City (W),Rangers (F),2.74,3.05,3.3,3.8,2.54,2.86,2.1,2.28,8.4,12.0
29-03-2026,11:15,La Liga Segunda Divisão,Leonesa,Andorra,2.56,2.6,3.35,3.4,3.15,3.25,2.28,2.34,10.0,10.5
29-03-2026,11:30,Eslovênia 2 Snl,NK Bilje,Gorica,3.4,3.8,3.2,3.5,2.36,2.42,2.16,2.3,7.6,9.4
29-03-2026,11:30,Portugal Segunda Liga,Leiria,Paços Ferreira,1.78,1.8,4.0,4.2,5.1,5.4,1.89,1.94,16.5,18.0
29-03-2026,11:30,Croácia Prva Nl,HNK Orijent 1919,Rudes,2.8,3.1,2.86,3.1,2.9,3.25,2.64,2.86,7.2,9.4
29-03-2026,12:00,Espanha Liga F,Athletic de Bilbao (F),Atlético de Madrid (F),4.2,4.8,3.45,3.8,1.94,2.04,2.04,2.18,3.85,970.0
29-03-2026,12:00,Caf African Nations Champ Qualifiers,Lesoto,Seychelles,1.32,1.36,5.2,6.0,13.5,18.0,1.94,2.02,30.0,36.0
29-03-2026,12:00,Camarões Elite One,AS Fortuna Mfou,Fauve Azur Elite,2.16,2.44,3.05,3.9,3.55,4.0,2.1,2.66,3.65,1000.0
29-03-2026,12:30,Serie C Italiana,Cittadella,Lecco,2.18,2.3,3.2,3.5,3.75,4.1,2.2,2.32,11.0,13.5
29-03-2026,12:30,Serie C Italiana,S.S.D. Casarano Calcio,Giugliano,2.22,2.36,3.65,3.7,3.3,3.6,1.74,1.84,8.0,17.5
29-03-2026,12:30,Serie C Italiana,Nuovo Campobasso,FC Guidonia Montecelio 1937,2.02,2.12,3.4,3.5,4.3,4.5,2.5,2.66,5.1,970.0
29-03-2026,12:30,Serie C Italiana,Forli,Pianese,2.22,2.36,3.15,3.45,3.7,4.2,2.3,2.46,6.2,970.0
29-03-2026,13:00,Uruguai Primera Division,Juventud De Las Piedras,Boston River,2.4,2.52,3.1,3.3,3.45,3.7,2.6,2.74,6.4,18.5
29-03-2026,13:00,Internacional Fifa Series,Aruba,Liechtenstein,3.25,3.45,3.1,3.2,2.52,2.66,2.42,2.58,8.0,10.5
29-03-2026,13:30,La Liga Segunda Divisão,Zaragoza,Racing Santander,2.76,2.8,3.45,3.5,2.84,2.86,2.08,2.1,10.5,11.5
